label,unique_id,ros_bag_name,measurement_day,split,field_center_latitude,field_center_longitude,cultivar,pin_color,weight_g_inctack,x1_length_mm,x2_width_mm,x3_depth_mm,x1_circ_cm,x2_circ_cm,volume_ml,volume_metashape,note
B3R1-1,1,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,red,82,72.5,46.9,37.6,18.5,14,70,,
B3R1-2,2,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,blue,32,46.2,33.6,28,13,11,25,,
B3R1-3,3,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,green,26,50.6,31.6,26.8,13,10,20,,
B3R1-4,4,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,86,82,42.7,39.6,21,13,75,,
B3R1-5,5,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,white,40,52.8,36.4,31.8,14,12,35,,
B3R1-6,6,field_okadasan_sarabetsu,04-09-2023,val,42.603157,143.171165,MayQueen,blue,46,62.1,36.3,31.4,16,12,40,,
B4R1-1,7,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,red,142,96.5,54,42.1,24,16,130,,
B4R1-2,8,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,blue,172,110,47,48.3,26.5,16,160,,
B4R1-3,9,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,green,250,132,63.1,52.1,31,19,250,,
B4R1-4,10,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,210,121.9,49.7,48.3,29,17.5,205,,
B4R1-5,11,field_okadasan_sarabetsu,04-09-2023,train,42.603157,143.171165,MayQueen,white,384,145,74.3,60,36,22,380,,
B1R1-1,12,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,red,198,109.8,55.2,51.5,27.5,17.5,195,,
B1R1-2,13,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,blue,220,119.4,52.2,47.6,29.5,18,225,,
B1R1-3,14,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,green,70,86.9,39.6,32.4,21,12,65,,
B1R1-4,15,field_okadasan_sarabetsu_02,04-09-2023,exclude,42.603157,143.171165,MayQueen,yellow,,84.4,49.7,43.9,22,15.5,105,,weight measurement missing
B1R1-5,16,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,white,224,110,55.4,55.7,28.5,19,220,,
B2R1-1,17,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,red,250,149,55.6,47.2,34,17,255,,
B2R1-2,18,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,blue,278,138.2,68,50,33,19,280,,
B2R1-3,19,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,green,88,84.1,42.8,33.3,21.5,13,80,,
B2R1-4,20,field_okadasan_sarabetsu_02,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,96,92.2,42.2,38.4,22.5,14,90,,
B2R1-5,21,field_okadasan_sarabetsu_02,04-09-2023,test,42.603157,143.171165,MayQueen,white,192,105.9,52.4,57.5,27,17.5,185,,
B2R2-1,22,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,red,138,98.4,50.1,43.1,24.5,16,135,,
B2R2-2,23,field_okadasan_sarabetsu_03,04-09-2023,val,42.603157,143.171165,MayQueen,blue,222,113.2,60.4,52.7,23,19,215,,
B2R2-3,24,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,green,86,81.1,43.8,40.3,20,14,80,,
B2R2-4,25,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,yellow,286,149.4,58.8,46.7,35.5,17,300,,
B2R2-5,26,field_okadasan_sarabetsu_03,04-09-2023,val,42.603157,143.171165,MayQueen,white,152,91.1,51.3,48.3,24,17,160,,
B3R2-1,27,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,red,112,92.7,45.5,41.3,23,14,100,,
B3R2-2,28,field_okadasan_sarabetsu_03,04-09-2023,train,42.603157,143.171165,MayQueen,blue,118,94.7,48.6,40,23.5,15,105,,
B3R2-3,29,field_okadasan_sarabetsu_03,04-09-2023,val,42.603157,143.171165,MayQueen,green,138,103.3,53,41.3,25,16,135,,
B3R2-4,30,field_okadasan_sarabetsu_03,04-09-2023,test,42.603157,143.171165,MayQueen,yellow,34,50,36,29.8,13.5,11,30,,
B3R2-5,31,field_okadasan_sarabetsu_03,04-09-2023,val,42.603157,143.171165,MayQueen,white,126,86.6,55.5,46.4,23,16,115,,
