label,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2025-000,6.361100078,5.173099972,10.05199999,156.9071439,155.1429522,1.943128886,0.98875646,0.889875892,0.925710707
2025-001,7.741000131,9.412899986,7.025199756,196.0601575,232.6776608,1.339876489,1.186766673,0.933106547,0.970745835
2025-002,7.118500024,13.5962002,8.699699864,285.8785682,385.0343866,1.909981057,1.346845932,0.895300591,0.960785303
2025-003,9.721800312,7.624999806,7.921000198,217.144428,276.9099593,1.274990237,1.275234008,0.946152523,0.976820204
2025-004,6.506799906,11.51710004,7.536200434,215.9364105,261.3578691,1.770009867,1.210346456,0.915479521,0.960588014
2025-005,10.0840997,9.355000034,9.806699306,247.3006524,307.7568369,1.077936896,1.244464314,0.891382292,0.947940743
2025-006,4.364399984,3.938199952,4.675199836,57.30258216,39.24054872,1.187141306,0.684795471,0.974540696,0.987290384
2025-007,3.291299939,4.038600065,3.727199882,40.3952549,22.97557236,1.227053182,0.56876909,0.9675305,0.976653833
2025-008,3.420699947,3.551199846,4.028599709,41.81514821,24.13804097,1.177712098,0.577255899,0.965943737,0.981256769
2025-009,3.487200104,3.383800015,3.591199964,39.06710831,22.18071398,1.061292023,0.567759298,0.977214432,0.98476204
2025-010,7.914499938,7.693600096,9.941299632,183.1809359,181.9789771,1.292151855,0.993438407,0.847782922,0.823528107
2025-011,6.757500023,7.874800265,11.47399992,233.1240127,254.3138378,1.697965206,1.090895077,0.832678036,0.862341687
2025-012,8.11999999,7.936799899,11.38949953,241.9252812,297.276936,1.43502415,1.228796489,0.890383317,0.898685268
2025-013,6.021700241,9.450400248,7.250799984,169.5972551,177.2576678,1.569390682,1.045168258,0.899777908,0.914585472
2025-014,6.002999842,4.419199936,5.045499653,75.90958728,54.30812147,1.358390643,0.715431652,0.913616669,0.918505197
2025-015,7.781799883,10.38089991,10.39710045,287.2131367,415.1051995,1.336079134,1.445286258,0.936954727,0.975364281
2025-016,5.823399872,6.643399969,8.571000025,149.8649436,151.7604186,1.471820623,1.012647888,0.918099492,0.928451209
2025-017,4.021000024,4.86309994,5.471199751,70.63589093,50.61885409,1.360656483,0.71661663,0.936843188,0.971562461
2025-018,5.325799808,4.291800037,6.196599454,86.25612469,48.53113263,1.443822965,0.562639845,0.745946706,0.743103187
2025-019,4.441499896,6.604599953,4.241199791,74.08992707,52.05662242,1.557248014,0.702614032,0.910001863,0.935235497
2025-020,7.356199995,5.473599955,7.153899223,134.5863085,131.2451081,1.34394184,0.975174292,0.927980093,0.956735232
2025-021,10.93080007,7.37079978,8.939099684,246.9742805,319.4117191,1.482986975,1.293299523,0.914954772,0.955333802
2025-022,13.45579997,8.868400007,7.859800011,271.2516384,315.8341751,1.711977397,1.164358589,0.826833064,0.874254053
2025-023,11.98350005,11.42200008,7.926499844,305.1076106,412.6180152,1.51182745,1.352368806,0.878475945,0.921397329
2025-024,8.223900199,10.6017001,7.426000014,220.8346454,269.3189178,1.427646119,1.219550118,0.913260814,0.953023444
2025-025,8.497299999,8.615799993,5.595299974,152.174748,141.838846,1.539828076,0.932078731,0.864314223,0.89231732
2025-026,5.484999903,4.09209989,4.240200669,66.49253001,48.13411812,1.340387588,0.723902642,0.962380053,0.986225427
2025-027,5.373100005,4.420399852,4.519400001,70.50765695,52.1274453,1.215523524,0.739316091,0.957103275,0.979883272
